t,rank,KS_rank,KS_rank_minus,ccdf_weibull,KS_statistic_1,KS_statistic_2
1643,1,0.03333333333333333,0.0,0.026329852215515648,0.007003481117817685,0.026329852215515648
1664,2,0.06666666666666667,0.03333333333333333,0.026829409860217313,0.03983725680644935,0.00650392347311602
2083,3,0.1,0.06666666666666667,0.03737337836085708,0.06262662163914293,0.029293288305809587
3625,4,0.13333333333333333,0.1,0.08373079022788632,0.04960254310544701,0.016269209772113685
7230,5,0.16666666666666666,0.13333333333333333,0.2183195425289406,0.051652875862273934,0.08498620919560726
9095,6,0.2,0.16666666666666666,0.29356071136978956,0.09356071136978955,0.1268940447031229
9968,7,0.23333333333333334,0.2,0.3288320484432936,0.09549871510996027,0.1288320484432936
11689,8,0.26666666666666666,0.23333333333333334,0.3973005189180301,0.13063385225136342,0.16396718558469675
12989,9,0.3,0.26666666666666666,0.447395198314792,0.14739519831479203,0.18072853164812536
13622,10,0.3333333333333333,0.3,0.4711195589478546,0.1377862256145213,0.17111955894785463
13953,11,0.36666666666666664,0.3333333333333333,0.4833299047132148,0.11666323804654816,0.14999657137988148
14527,12,0.4,0.36666666666666664,0.5041666204196966,0.1041666204196966,0.13749995375302998
15263,13,0.43333333333333335,0.4,0.5302232311526863,0.09688989781935298,0.1302232311526863
15428,14,0.4666666666666667,0.43333333333333335,0.5359586522042127,0.06929198553754601,0.10262531887087933
15503,15,0.5,0.4666666666666667,0.5385525192534004,0.03855251925340042,0.07188585258673375
15629,16,0.5333333333333333,0.5,0.5428915792186697,0.00955824588533638,0.042891579218669706
16342,17,0.5666666666666667,0.5333333333333333,0.5669970876422046,0.00033042097553792615,0.03366375430887125
16584,18,0.6,0.5666666666666667,0.5750024012553878,0.02499759874461216,0.008335734588721166
17374,19,0.6333333333333333,0.6,0.600497694457774,0.03283563887555929,0.0004976944577740339
18571,20,0.6666666666666666,0.6333333333333333,0.6372250304986904,0.029441636167976237,0.0038916971653570887
19739,21,0.7,0.6666666666666666,0.6708099561494174,0.029190043850582548,0.004143289482750778
19936,22,0.7333333333333333,0.7,0.6762537854851265,0.05707954784820679,0.023746214514873465
20102,23,0.7666666666666667,0.7333333333333333,0.680791494819786,0.08587517184688076,0.05254183851354732
20832,24,0.8,0.7666666666666667,0.700210433471002,0.09978956652899806,0.06645623319566474
23378,25,0.8333333333333334,0.8,0.7612017236989015,0.07213160963443188,0.038798276301098555
23612,26,0.8666666666666667,0.8333333333333334,0.7662941697103788,0.10037249695628792,0.06703916362295459
23678,27,0.9,0.8666666666666667,0.7677152671722323,0.13228473282776776,0.09895139949443443
23971,28,0.9333333333333333,0.9,0.7739436516388298,0.15938968169450352,0.1260563483611702
24341,29,0.9666666666666667,0.9333333333333333,0.7816227696514901,0.18504389701517654,0.1517105636818432
26964,30,1.0,0.9666666666666667,0.8303442987755107,0.16965570122448925,0.13632236789115593
